"id","familia","ativo","pergunta","contraste","papel","indices","janela","curva","prior_r","prior_K","prior_psi","N","RMSE","SDNR","DIC","ano_final","BBmsy","BBmsy_lci","BBmsy_uci","FFmsy","BB0","P_sobrepescado","rodou"
"J1_C1_ingenuo","janela completa 1989-2025","TRUE","A capturabilidade mudou na troca de alvo de 2015? J1 e o modelo NULO: um unico q atravessando a quebra.","J2. J1 usa OS MESMOS 35 pontos de indice que J2 (C1 e C2 e C3 renormalizados: razao constante, conferida) e esta ANINHADO nele — J2 = J1 + 1 q + 1 variancia. E a UNICA comparacao de DIC formalmente valida da grade.","MODELO NULO do teste de capturabilidade: um q só atravessando a troca de alvo","C1_nominal_total","1989-2025","Schaefer","range [0.20, 0.80] (mediana 0.40)","range [2489, 64529] t (mediana 12673)","lnorm(0.90, CV 0.25) - estoque pouco explorado em 1989","35","68.3","0.96","-201.6","2025","0.409087151787319","0.159117262691683","1.91882785326741","0.135634831949477","0.204543575893659","0.9092","TRUE"
"J2_C2C3_nominal","janela completa 1989-2025","TRUE","O que a CPUE NOMINAL diz quando se admite a quebra de capturabilidade (um q por periodo)?","J1 (um q so) e J3 (mesma estrutura, indice recente padronizado).","nominal honesto: q separado por período","C2_nominal_pre_alvo+C3_nominal_pos_alvo","1989-2025","Schaefer","range [0.20, 0.80] (mediana 0.40)","range [2489, 64529] t (mediana 12673)","lnorm(0.90, CV 0.25) - estoque pouco explorado em 1989","35","73.4","1","-244.1","2025","1.88276765374188","0.0611907005392946","2.18287678556341","0.0122235755700302","0.941383826870942","0.0797","TRUE"
"J3_BASE_C2C5","janela completa 1989-2025","TRUE","CASO BASE: nominal no periodo em que a cavala era alvo + padronizada no periodo recente, um q para cada.","J2 (recente nominal), J18 (recente dirigido), J6 (forma da curva), J7/J8 e J10/J11 (priors).","CASO BASE: nominal antes + padronizada com tática depois","C2_nominal_pre_alvo+C5_padronizada_com_tatica","1989-2025","Schaefer","range [0.20, 0.80] (mediana 0.40)","range [2489, 64529] t (mediana 12673)","lnorm(0.90, CV 0.25) - estoque pouco explorado em 1989","35","67.7","0.93","-245","2025","0.924543037751168","0.0520046519201289","2.14903419608152","0.0481073268538698","0.462271518875584","0.5","TRUE"
"J4_C2C4_semTat","janela completa 1989-2025","FALSE","A covariavel de tatica na padronizacao muda a avaliacao?","J3. DESLIGADO por redundancia: C4 e C5 correlacionam 0,994 (r em log 0,987) e a propria parte 03 ja imprime esse numero. Rodar os dois no JABBA repete um resultado que a correlacao entre indices ja da, e da de forma mais limpa.","REDUNDANTE com J3 (C4 x C5 correlacionam 0,994) — ver 6.2","C2_nominal_pre_alvo+C4_padronizada_sem_tatica","1989-2025","Schaefer","range [0.20, 0.80] (mediana 0.40)","range [2489, 64529] t (mediana 12673)","lnorm(0.90, CV 0.25) - estoque pouco explorado em 1989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FALSE"
"J5_soC5_curto","janela completa 1989-2025","TRUE","O indice recente padronizado sozinho, mas com toda a serie de CAPTURA 1989-2025 ainda ancorando a dinamica.","J3 (com indice historico) e J13 (mesmo indice, sem ancora nenhuma). O par J5 x J13 separa o efeito de perder o INDICE historico do de perder a CAPTURA historica.","índice recente sozinho, mas ainda ancorado na captura histórica","C5_padronizada_com_tatica","1989-2025","Schaefer","range [0.20, 0.80] (mediana 0.40)","range [2489, 64529] t (mediana 12673)","lnorm(0.90, CV 0.25) - estoque pouco explorado em 1989","10","73.6","0.76","-288","2025","0.737002382266671","0.0458554550433311","2.12922200900573","0.0850212278244456","0.368501191133335","0.5","TRUE"
"J6_BASE_Fox","janela completa 1989-2025","TRUE","A conclusao depende da forma da curva de producao (Fox: Bmsy/K = 0,37 em vez de 0,5)?","J3 (Schaefer, mesmos dados) — comparacao de DIC valida.","sensibilidade: forma da curva de produção (Fox)","C2_nominal_pre_alvo+C5_padronizada_com_tatica","1989-2025","Fox","range [0.20, 0.80] (mediana 0.40)","range [2489, 64529] t (mediana 12673)","lnorm(0.90, CV 0.25) - estoque pouco explorado em 1989","35","75.2","1.01","-244.8","2025","2.58132282501096","2.09131997226938","2.97522051954528","0.00732888587981596","0.950090208409575","0","TRUE"
"J7_BASE_rBaixo","janela completa 1989-2025","TRUE","O resultado vem do dado ou da prior de r? Lado menos produtivo.","J3 e J8. Se a posterior de r seguir a prior nos tres, r nao foi estimado (ver secao 12).","sensibilidade: prior de r mais baixo (menos produtivo)","C2_nominal_pre_alvo+C5_padronizada_com_tatica","1989-2025","Schaefer","range [0.10, 0.50] (mediana 0.22)","range [2489, 64529] t (mediana 12673)","lnorm(0.90, CV 0.25) - estoque pouco explorado em 1989","35","67.1","0.94","-237.6","2025","0.444263185907022","0.0525164118102462","2.11197806017207","0.149080513142268","0.222131592953511","0.5385","TRUE"
"J8_BASE_rAlto","janela completa 1989-2025","TRUE","O resultado vem do dado ou da prior de r? Lado mais produtivo.","J3 e J7.","sensibilidade: prior de r mais alto (mais produtivo)","C2_nominal_pre_alvo+C5_padronizada_com_tatica","1989-2025","Schaefer","range [0.40, 1.20] (mediana 0.69)","range [2489, 64529] t (mediana 12673)","lnorm(0.90, CV 0.25) - estoque pouco explorado em 1989","35","75.4","1.02","-247.2","2025","1.93858826534122","1.7096991148168","2.1775210030682","0.0103096653190896","0.96929413267061","0","TRUE"
"J9_soC3_curto","janela completa 1989-2025","TRUE","O indice recente NOMINAL sozinho, com a captura historica ancorando a dinamica.","J2 (mesmo indice, com o historico) e J5 (mesma posicao, indice padronizado). Fecha o quadrado J2/J9/J3/J5.","diagnóstico: só o índice NOMINAL recente (par do J5)","C3_nominal_pos_alvo","1989-2025","Schaefer","range [0.20, 0.80] (mediana 0.40)","range [2489, 64529] t (mediana 12673)","lnorm(0.90, CV 0.25) - estoque pouco explorado em 1989","10","69.2","0.93","-289.2","2025","0.0661386049457315","0.0398056467040011","0.318594718634084","0.722744815061153","0.0330693024728658","1","TRUE"
"J10_BASE_kBaixo","janela completa 1989-2025","TRUE","O resultado vem do dado ou da prior de K? Estoque menor.","J3 e J11.","sensibilidade: prior de K mais baixo (estoque menor)","C2_nominal_pre_alvo+C5_padronizada_com_tatica","1989-2025","Schaefer","range [0.20, 0.80] (mediana 0.40)","range [2489, 9955] t (mediana 4978)","lnorm(0.90, CV 0.25) - estoque pouco explorado em 1989","35","67.5","0.93","-248","2025","0.732262474462399","0.0515749622322959","2.10614863648334","0.0878471310331628","0.3661312372312","0.5","TRUE"
